word;strength;polarity;
103;adamantly;strongsubj;negative
104;adaptable;weaksubj;positive
105;adaptability;weaksubj;positive
106;adaptive;weaksubj;positive
107;addict;weaksubj;negative
108;addiction;weaksubj;negative
109;adept;weaksubj;positive
110;adeptly;weaksubj;positive
111;adequate;weaksubj;positive
112;adherence;weaksubj;positive
113;adherent;weaksubj;positive
114;adhesion;weaksubj;positive
115;admirable;strongsubj;positive
116;admirer;strongsubj;positive
117;admirably;strongsubj;positive
118;admiration;strongsubj;positive
119;admire;strongsubj;positive
120;admiring;strongsubj;positive
121;admiringly;strongsubj;positive
122;admission;weaksubj;positive
123;admit;strongsubj;positive
124;admittedly;strongsubj;positive
125;admonish;strongsubj;negative
126;admonisher;strongsubj;negative
127;admonishingly;strongsubj;negative
128;admonishment;strongsubj;negative
129;admonition;strongsubj;negative
130;adorable;strongsubj;positive
131;adore;strongsubj;positive
132;adored;strongsubj;positive
133;adorer;strongsubj;positive
134;adoring;strongsubj;positive
135;adoringly;strongsubj;positive
136;adrift;weaksubj;negative
137;adroit;strongsubj;positive
138;adroitly;strongsubj;positive
139;adulate;strongsubj;positive
140;adulation;strongsubj;positive
141;adulatory;strongsubj;positive
142;adulterate;strongsubj;negative
143;adulterated;strongsubj;negative
144;adulteration;strongsubj;negative
145;advanced;weaksubj;positive
146;advantage;weaksubj;positive
147;advantageous;strongsubj;positive
148;advantages;weaksubj;positive
149;adventure;weaksubj;positive
150;adventuresome;strongsubj;positive
151;adventurism;strongsubj;positive
152;adventurous;weaksubj;positive
153;adversarial;weaksubj;negative
154;adversary;weaksubj;negative
155;adverse;weaksubj;negative
156;adversity;strongsubj;negative
157;advice;weaksubj;positive
158;advisable;weaksubj;positive
159;advocate;strongsubj;positive
160;advocacy;strongsubj;positive
161;affable;strongsubj;positive
162;affability;weaksubj;positive
163;affably;weaksubj;positive
164;affectation;weaksubj;negative
165;affection;strongsubj;positive
166;affectionate;strongsubj;positive
167;affinity;weaksubj;positive
168;affirm;strongsubj;positive
169;affirmation;strongsubj;positive
170;affirmative;weaksubj;positive
171;afflict;weaksubj;negative
172;affliction;weaksubj;negative
173;afflictive;strongsubj;negative
174;affluent;weaksubj;positive
175;affluence;weaksubj;positive
176;afford;weaksubj;positive
177;affordable;weaksubj;positive
178;affront;strongsubj;negative
179;afloat;weaksubj;positive
180;afraid;strongsubj;negative
181;against;weaksubj;negative
182;aggravate;strongsubj;negative
183;aggravating;strongsubj;negative
184;aggravation;strongsubj;negative
185;aggression;strongsubj;negative
186;aggressive;strongsubj;negative
187;aggressiveness;strongsubj;negative
188;aggressor;strongsubj;negative
189;aggrieve;strongsubj;negative
190;aggrieved;strongsubj;negative
191;aghast;strongsubj;negative
192;agile;weaksubj;positive
193;agilely;weaksubj;positive
194;agility;weaksubj;positive
195;agitate;strongsubj;negative
196;agitated;strongsubj;negative
197;agitation;strongsubj;negative
198;agitator;strongsubj;negative
199;agonies;strongsubj;negative
200;agonize;strongsubj;negative
201;agonizing;strongsubj;negative
202;agonizingly;strongsubj;negative
203;agony;strongsubj;negative
204;agree;strongsubj;positive
205;agreeability;strongsubj;positive
206;agreeable;weaksubj;positive
207;agreeable;strongsubj;positive
208;agreeableness;strongsubj;positive
209;agreeably;strongsubj;positive
210;agreement;weaksubj;positive
211;ail;weaksubj;negative
212;ailment;weaksubj;negative
213;aimless;strongsubj;negative
214;airs;weaksubj;negative
215;alarm;weaksubj;negative
216;alarmed;strongsubj;negative
217;alarming;strongsubj;negative
218;alarmingly;strongsubj;negative
219;alas;strongsubj;negative
220;alienate;weaksubj;negative
221;alienated;weaksubj;negative
222;alienation;weaksubj;negative
223;allay;strongsubj;positive
224;allegation;strongsubj;negative
225;allegations;strongsubj;negative
226;allege;weaksubj;negative
227;allergic;weaksubj;negative
228;alleviate;weaksubj;positive
229;allow;weaksubj;positive
230;allowable;weaksubj;positive
231;allure;strongsubj;positive
232;alluring;strongsubj;positive
233;alluringly;strongsubj;positive
234;ally;strongsubj;positive
235;almighty;strongsubj;positive
236;aloof;strongsubj;negative
237;altercation;weaksubj;negative
238;although;weaksubj;negative
239;altruist;strongsubj;positive
240;altruistic;strongsubj;positive
241;altruistically;strongsubj;positive
242;amaze;strongsubj;positive
243;amazed;strongsubj;positive
244;amazement;strongsubj;positive
245;amazing;strongsubj;positive
246;amazingly;strongsubj;positive
247;ambiguous;strongsubj;negative
248;ambiguity;strongsubj;negative
249;ambitious;weaksubj;positive
250;ambitiously;weaksubj;positive
251;ambivalence;strongsubj;negative
252;ambivalent;strongsubj;negative
253;ambush;weaksubj;negative
254;ameliorate;strongsubj;positive
255;amenable;strongsubj;positive
256;amenity;weaksubj;positive
257;amiability;strongsubj;positive
258;amiabily;strongsubj;positive
259;amiable;strongsubj;positive
260;amicability;strongsubj;positive
261;amicable;strongsubj;positive
262;amicably;strongsubj;positive
263;amiss;strongsubj;negative
264;amity;weaksubj;positive
265;amnesty;weaksubj;positive
266;amour;strongsubj;positive
267;ample;weaksubj;positive
268;amply;weaksubj;positive
269;amputate;weaksubj;negative
270;amuse;strongsubj;positive
271;amusement;strongsubj;positive
272;amusing;strongsubj;positive
273;amusingly;strongsubj;positive
274;anarchism;strongsubj;negative
275;anarchist;strongsubj;negative
276;anarchistic;strongsubj;negative
277;anarchy;strongsubj;negative
278;anemic;weaksubj;negative
279;angel;weaksubj;positive
280;angelic;strongsubj;positive
281;anger;strongsubj;negative
282;angrily;strongsubj;negative
283;angriness;strongsubj;negative
284;angry;strongsubj;negative
285;anguish;strongsubj;negative
286;annihilate;strongsubj;negative
287;annihilation;strongsubj;negative
288;animated;weaksubj;positive
289;animosity;strongsubj;negative
290;annoy;strongsubj;negative
291;annoyance;strongsubj;negative
292;annoyed;strongsubj;negative
293;annoying;strongsubj;negative
294;annoyingly;strongsubj;negative
295;anomalous;weaksubj;negative
296;anomaly;weaksubj;negative
297;antagonism;strongsubj;negative
298;antagonist;weaksubj;negative
299;antagonistic;strongsubj;negative
300;antagonize;strongsubj;negative
301;anti;strongsubj;negative
302;antiAmerican;strongsubj;negative
303;antiIsraeli;strongsubj;negative
304;antiSemites;strongsubj;negative
305;antiUS;strongsubj;negative
306;antioccupation;strongsubj;negative
307;antiproliferation;strongsubj;negative
308;antisocial;strongsubj;negative
309;antiwhite;strongsubj;negative
310;antipathy;strongsubj;negative
311;antiquated;strongsubj;negative
312;antithetical;strongsubj;negative
313;anxieties;strongsubj;negative
314;anxiety;strongsubj;negative
315;anxious;strongsubj;negative
316;anxiously;strongsubj;negative
317;anxiousness;strongsubj;negative
318;apathetic;strongsubj;negative
319;apathetically;strongsubj;negative
320;apathy;strongsubj;negative
321;ape;strongsubj;negative
322;apocalypse;strongsubj;negative
323;apocalyptic;strongsubj;negative
324;apologist;strongsubj;negative
325;apologists;strongsubj;negative
326;apostle;strongsubj;positive
327;apotheosis;strongsubj;positive
328;appal;strongsubj;negative
329;appall;strongsubj;negative
330;appalled;strongsubj;negative
331;appalling;strongsubj;negative
332;appallingly;strongsubj;negative
333;appeal;weaksubj;positive
334;appealing;strongsubj;positive
335;appease;weaksubj;positive
336;applaud;strongsubj;positive
337;appreciable;weaksubj;positive
338;appreciate;strongsubj;positive
339;appreciation;strongsubj;positive
340;appreciative;strongsubj;positive
341;appreciatively;strongsubj;positive
342;appreciativeness;strongsubj;positive
343;apprehension;strongsubj;negative
344;apprehensions;strongsubj;negative
345;apprehensive;strongsubj;negative
346;apprehensively;strongsubj;negative
347;appropriate;weaksubj;positive
348;approval;weaksubj;positive
349;approve;weaksubj;positive
350;apt;weaksubj;positive
351;aptly;weaksubj;positive
352;aptitude;weaksubj;positive
353;arbitrary;strongsubj;negative
354;arcane;strongsubj;negative
355;archaic;strongsubj;negative
356;ardent;strongsubj;positive
357;ardently;strongsubj;positive
358;ardor;strongsubj;positive
359;arduous;strongsubj;negative
360;arduously;strongsubj;negative
361;aristocratic;weaksubj;positive
362;argue;strongsubj;negative
363;argument;weaksubj;negative
364;argumentative;strongsubj;negative
365;arguments;weaksubj;negative
366;arousal;strongsubj;positive
367;arouse;strongsubj;positive
368;arousing;strongsubj;positive
369;arresting;strongsubj;positive
370;arrogance;strongsubj;negative
371;arrogant;strongsubj;negative
372;arrogantly;strongsubj;negative
373;articulate;strongsubj;positive
374;artificial;weaksubj;negative
375;ascendant;strongsubj;positive
376;ascertainable;strongsubj;positive
377;ashamed;strongsubj;negative
378;asinine;strongsubj;negative
379;asininely;strongsubj;negative
380;asinininity;strongsubj;negative
381;askance;strongsubj;negative
382;asperse;strongsubj;negative
383;aspersion;strongsubj;negative
384;aspersions;strongsubj;negative
385;aspiration;strongsubj;positive
386;aspirations;strongsubj;positive
387;aspire;strongsubj;positive
388;assail;weaksubj;negative
389;assassinate;weaksubj;negative
390;assassin;strongsubj;negative
391;assault;weaksubj;negative
392;assent;strongsubj;positive
393;assertions;strongsubj;positive
394;assertive;weaksubj;positive
395;asset;weaksubj;positive
396;assiduous;strongsubj;positive
397;assiduously;strongsubj;positive
398;assuage;weaksubj;positive
399;assurance;weaksubj;positive
400;assurances;weaksubj;positive
401;assure;strongsubj;positive
402;assuredly;strongsubj;positive
403;astonish;strongsubj;positive
404;astonished;strongsubj;positive
405;astonishing;strongsubj;positive
406;astonishingly;strongsubj;positive
407;astonishment;strongsubj;positive
408;astound;strongsubj;positive
409;astounded;strongsubj;positive
410;astounding;strongsubj;positive
411;astoundingly;strongsubj;positive
412;astray;weaksubj;negative
413;astute;strongsubj;positive
414;astutely;strongsubj;positive
415;asunder;strongsubj;negative
416;asylum;weaksubj;positive
417;atrocious;strongsubj;negative
418;atrocities;strongsubj;negative
419;atrocity;strongsubj;negative
420;atrophy;strongsubj;negative
421;attack;weaksubj;negative
422;attain;weaksubj;positive
423;attainable;weaksubj;positive
424;attentive;strongsubj;positive
425;attest;strongsubj;positive
426;attraction;strongsubj;positive
427;attractive;strongsubj;positive
428;attractively;strongsubj;positive
429;attune;weaksubj;positive
430;audacious;strongsubj;negative
431;audaciously;strongsubj;negative
432;audaciousness;strongsubj;negative
433;audacity;strongsubj;negative
434;auspicious;strongsubj;positive
435;austere;strongsubj;negative
436;authentic;weaksubj;positive
437;authoritarian;weaksubj;negative
438;authoritative;weaksubj;positive
439;autocrat;strongsubj;negative
440;autocratic;strongsubj;negative
441;award;weaksubj;positive
442;autonomous;weaksubj;positive
443;avalanche;strongsubj;negative
444;avarice;strongsubj;negative
445;avaricious;strongsubj;negative
446;avariciously;strongsubj;negative
447;avenge;strongsubj;negative
448;aver;strongsubj;positive
449;averse;strongsubj;negative
450;aversion;strongsubj;negative
451;avid;strongsubj;positive
452;avidly;strongsubj;positive
453;avoid;weaksubj;negative
454;avoidance;weaksubj;negative
455;awe;strongsubj;positive
456;awed;strongsubj;positive
457;awesome;strongsubj;positive
458;awesomely;strongsubj;positive
459;awesomeness;strongsubj;positive
460;awestruck;strongsubj;positive
461;awful;strongsubj;negative
462;awfully;strongsubj;negative
463;awfulness;strongsubj;negative
464;awkward;strongsubj;negative
465;awkwardness;strongsubj;negative
466;ax;strongsubj;negative
467;babble;strongsubj;negative
468;back;weaksubj;positive
469;backbite;strongsubj;negative
470;backbiting;strongsubj;negative
471;backbone;weaksubj;positive
472;backward;strongsubj;negative
473;backwardness;strongsubj;negative
474;bad;strongsubj;negative
475;badly;strongsubj;negative
476;baffle;strongsubj;negative
477;baffled;strongsubj;negative
478;bafflement;strongsubj;negative
479;baffling;strongsubj;negative
480;bait;strongsubj;negative
481;balanced;weaksubj;positive
482;balk;strongsubj;negative
483;banal;strongsubj;negative
484;banalize;strongsubj;negative
485;bane;strongsubj;negative
486;banish;strongsubj;negative
487;banishment;strongsubj;negative
488;bankrupt;weaksubj;negative
489;bar;weaksubj;negative
490;barbarian;strongsubj;negative
491;barbaric;strongsubj;negative
492;barbarically;strongsubj;negative
493;barbarity;strongsubj;negative
494;barbarous;strongsubj;negative
495;barbarously;strongsubj;negative
496;barely;weaksubj;negative
497;bargain;strongsubj;positive
498;barren;strongsubj;negative
499;baseless;strongsubj;negative
500;bashful;strongsubj;negative
501;basic;weaksubj;positive
502;bask;weaksubj;positive
503;bastard;strongsubj;negative
504;battered;weaksubj;negative
505;battering;weaksubj;negative
506;battle;weaksubj;negative
507;battlelines;strongsubj;negative
508;battlefield;weaksubj;negative
509;battleground;strongsubj;negative
510;batty;strongsubj;negative
511;beacon;weaksubj;positive
512;bearish;weaksubj;negative
513;beast;strongsubj;negative
514;beastly;strongsubj;negative
515;beatify;strongsubj;positive
516;beauteous;strongsubj;positive
517;beautiful;strongsubj;positive
518;beautifully;strongsubj;positive
519;beautify;strongsubj;positive
520;beauty;strongsubj;positive
521;bedlam;strongsubj;negative
522;bedlamite;strongsubj;negative
523;befit;strongsubj;positive
524;befitting;strongsubj;positive
525;befoul;strongsubj;negative
526;befriend;strongsubj;positive
527;beg;strongsubj;negative
528;beggar;weaksubj;negative
529;beggarly;strongsubj;negative
530;begging;strongsubj;negative
531;beguile;strongsubj;negative
532;belated;weaksubj;negative
533;belabor;strongsubj;negative
534;beleaguer;strongsubj;negative
535;belie;strongsubj;negative
536;believable;strongsubj;positive
537;belittle;strongsubj;negative
538;belittled;strongsubj;negative
539;belittling;strongsubj;negative
540;bellicose;strongsubj;negative
541;belligerence;strongsubj;negative
542;belligerent;strongsubj;negative
543;belligerently;strongsubj;negative
544;beloved;strongsubj;positive
545;bemoan;strongsubj;negative
546;bemoaning;strongsubj;negative
547;bemused;strongsubj;negative
548;benefactor;weaksubj;positive
549;beneficial;weaksubj;positive
550;beneficent;strongsubj;positive
551;beneficial;strongsubj;positive
552;beneficially;strongsubj;positive
553;beneficiary;strongsubj;positive
554;benefit;weaksubj;positive
555;benefits;weaksubj;positive
556;benevolence;strongsubj;positive
557;benevolent;strongsubj;positive
558;benign;weaksubj;positive
559;bent;weaksubj;negative
560;berate;strongsubj;negative
561;bereave;strongsubj;negative
562;bereavement;strongsubj;negative
563;bereft;strongsubj;negative
564;berserk;strongsubj;negative
565;beseech;strongsubj;negative
566;beset;weaksubj;negative
567;besiege;weaksubj;negative
568;besmirch;strongsubj;negative
569;best;strongsubj;positive
570;bestknown;strongsubj;positive
571;bestperforming;strongsubj;positive
572;bestselling;weaksubj;positive
573;bestial;strongsubj;negative
574;betray;strongsubj;negative
575;betrayal;strongsubj;negative
576;betrayals;strongsubj;negative
577;betrayer;strongsubj;negative
578;better;strongsubj;positive
579;better;weaksubj;positive
580;betterknown;strongsubj;positive
581;betterthanexpected;strongsubj;positive
582;bewail;strongsubj;negative
583;beware;weaksubj;negative
584;bewilder;strongsubj;negative
585;bewildered;strongsubj;negative
586;bewildering;strongsubj;negative
587;bewilderingly;strongsubj;negative
588;bewilderment;strongsubj;negative
589;bewitch;strongsubj;negative
590;bias;strongsubj;negative
591;biased;strongsubj;negative
592;biases;strongsubj;negative
593;bicker;strongsubj;negative
594;bickering;strongsubj;negative
595;bidrigging;weaksubj;negative
596;bitch;strongsubj;negative
597;bitchy;strongsubj;negative
598;biting;strongsubj;negative
599;bitingly;strongsubj;negative
600;bitter;strongsubj;negative
601;bitterly;strongsubj;negative
602;bitterness;strongsubj;negative
603;bizarre;strongsubj;negative
604;blab;strongsubj;negative
605;blabber;strongsubj;negative
606;black;weaksubj;negative
607;blackmail;weaksubj;negative
608;blah;strongsubj;negative
609;blame;strongsubj;negative
610;blameless;strongsubj;positive
611;blameworthy;strongsubj;negative
612;bland;strongsubj;negative
613;blandish;strongsubj;negative
614;blaspheme;strongsubj;negative
615;blasphemous;strongsubj;negative
616;blasphemy;strongsubj;negative
617;blast;weaksubj;negative
618;blasted;strongsubj;negative
619;blatant;strongsubj;negative
620;blatantly;strongsubj;negative
621;blather;strongsubj;negative
622;bleak;strongsubj;negative
623;bleakly;strongsubj;negative
624;bleakness;strongsubj;negative
625;bleed;weaksubj;negative
626;blemish;weaksubj;negative
627;bless;strongsubj;positive
628;blessing;strongsubj;positive
629;blind;weaksubj;negative
630;blinding;strongsubj;negative
631;blindingly;strongsubj;negative
632;blindness;weaksubj;negative
633;blindside;strongsubj;negative
634;bliss;strongsubj;positive
635;blissful;strongsubj;positive
636;blissfully;strongsubj;positive
637;blister;strongsubj;negative
638;blistering;strongsubj;negative
639;blithe;strongsubj;positive
640;bloated;strongsubj;negative
641;block;weaksubj;negative
642;blockhead;strongsubj;negative
643;blood;weaksubj;negative
644;bloodshed;strongsubj;negative
645;bloodthirsty;strongsubj;negative
646;bloody;weaksubj;negative
647;bloom;weaksubj;positive
648;blossom;weaksubj;positive
649;blow;weaksubj;negative
650;blunder;strongsubj;negative
651;blundering;strongsubj;negative
652;blunders;strongsubj;negative
653;blunt;strongsubj;negative
654;blur;weaksubj;negative
655;blurt;strongsubj;negative
656;boast;strongsubj;positive
657;boast;strongsubj;negative
658;boastful;strongsubj;negative
659;boggle;strongsubj;negative
660;bogus;strongsubj;negative
661;boil;strongsubj;negative
662;boiling;strongsubj;negative
663;boisterous;strongsubj;negative
664;bold;strongsubj;positive
665;boldly;strongsubj;positive
666;boldness;strongsubj;positive
667;bolster;strongsubj;positive
668;bombard;weaksubj;negative
669;bomb;weaksubj;negative
670;bombardment;strongsubj;negative
671;bombastic;strongsubj;negative
672;bondage;strongsubj;negative
673;bonkers;strongsubj;negative
674;bonny;strongsubj;positive
675;bonus;weaksubj;positive
676;boom;weaksubj;positive
677;booming;weaksubj;positive
678;boost;weaksubj;positive
679;bore;strongsubj;negative
680;boredom;strongsubj;negative
681;boring;strongsubj;negative
682;botch;strongsubj;negative
683;bother;strongsubj;negative
684;bothersome;strongsubj;negative
685;boundless;strongsubj;positive
686;bountiful;strongsubj;positive
687;bowdlerize;strongsubj;negative
688;boycott;weaksubj;negative
689;brag;strongsubj;both
690;braggart;strongsubj;negative
691;bragger;strongsubj;negative
692;brains;strongsubj;positive
693;brainwash;strongsubj;negative
694;brainy;strongsubj;positive
695;brash;strongsubj;negative
696;brashly;strongsubj;negative
697;brashness;strongsubj;negative
698;brat;strongsubj;negative
699;bravado;strongsubj;negative
700;brave;strongsubj;positive
701;bravery;strongsubj;positive
702;brazen;strongsubj;negative
703;brazenly;strongsubj;negative
704;brazenness;strongsubj;negative
705;breach;weaksubj;negative
706;break;weaksubj;negative
707;breakpoint;strongsubj;negative
708;breakdown;weaksubj;negative
709;breakthrough;weaksubj;positive
710;breakthroughs;weaksubj;positive
711;breathlessness;strongsubj;positive
712;breathtaking;strongsubj;positive
713;breathtakingly;strongsubj;positive
714;bright;weaksubj;positive
715;brighten;weaksubj;positive
716;brightness;weaksubj;positive
717;brilliance;weaksubj;positive
718;brilliant;strongsubj;positive
719;brilliantly;strongsubj;positive
720;brimstone;strongsubj;negative
721;brisk;weaksubj;positive
722;bristle;strongsubj;negative
723;brittle;weaksubj;negative
724;broad;weaksubj;positive
725;broke;weaksubj;negative
726;brokenhearted;strongsubj;negative
727;brood;strongsubj;negative
728;brook;strongsubj;positive
729;brotherly;weaksubj;positive
730;browbeat;strongsubj;negative
731;bruise;weaksubj;negative
732;brusque;strongsubj;negative
733;brutal;strongsubj;negative
734;brutalising;strongsubj;negative
735;brutalities;strongsubj;negative
736;brutality;strongsubj;negative
737;brutalize;strongsubj;negative
738;brutalizing;strongsubj;negative
739;brutally;strongsubj;negative
740;brute;strongsubj;negative
741;brutish;strongsubj;negative
742;bug;weaksubj;negative
743;buckle;weaksubj;negative
744;bulky;weaksubj;negative
745;bull;weaksubj;positive
746;bullies;strongsubj;negative
747;bullish;weaksubj;positive
748;bully;strongsubj;negative
749;bullyingly;strongsubj;negative
750;bum;weaksubj;negative
751;bumpy;weaksubj;negative
752;bungle;strongsubj;negative
753;bungler;strongsubj;negative
754;bunk;weaksubj;negative
755;buoyant;weaksubj;positive
756;burden;strongsubj;negative
757;burdensome;strongsubj;negative
758;burdensomely;strongsubj;negative
759;burn;strongsubj;negative
760;busy;weaksubj;negative
761;busybody;strongsubj;negative
762;butcher;weaksubj;negative
763;butchery;strongsubj;negative
764;byzantine;strongsubj;negative
765;cackle;strongsubj;negative
766;cajole;strongsubj;negative
767;calamities;strongsubj;negative
768;calamitous;strongsubj;negative
769;calamitously;strongsubj;negative
770;calamity;strongsubj;negative
771;callous;strongsubj;negative
772;calm;weaksubj;positive
773;calming;strongsubj;positive
774;calmness;weaksubj;positive
775;calumniate;strongsubj;negative
776;calumniation;strongsubj;negative
777;calumnies;strongsubj;negative
778;calumnious;strongsubj;negative
779;calumniously;strongsubj;negative
780;calumny;strongsubj;negative
781;cancer;weaksubj;negative
782;cancerous;weaksubj;negative
783;candid;strongsubj;positive
784;candor;strongsubj;positive
785;cannibal;strongsubj;negative
786;cannibalize;strongsubj;negative
787;capable;weaksubj;positive
788;capability;weaksubj;positive
789;capably;weaksubj;positive
790;capitalize;weaksubj;positive
791;capitulate;weaksubj;negative
792;capricious;strongsubj;negative
793;capriciously;strongsubj;negative
794;capriciousness;strongsubj;negative
795;capsize;weaksubj;negative
796;captivate;strongsubj;positive
797;captivating;strongsubj;positive
798;captivation;strongsubj;positive
799;captive;weaksubj;negative
800;care;weaksubj;positive
801;carefree;strongsubj;positive
802;careful;weaksubj;positive
803;careless;strongsubj;negative
804;carelessness;strongsubj;negative
805;caricature;strongsubj;negative
806;carnage;strongsubj;negative
807;carp;strongsubj;negative
808;cartoon;weaksubj;negative
809;cartoonish;strongsubj;negative
810;cashstrapped;weaksubj;negative
811;castigate;strongsubj;negative
812;casualty;weaksubj;negative
813;cataclysm;strongsubj;negative
814;cataclysmal;strongsubj;negative
815;cataclysmic;strongsubj;negative
816;cataclysmically;strongsubj;negative
817;catalyst;strongsubj;positive
818;catastrophe;strongsubj;negative
819;catastrophes;strongsubj;negative
820;catastrophic;strongsubj;negative
821;catastrophically;strongsubj;negative
822;catchy;strongsubj;positive
823;caustic;strongsubj;negative
824;caustically;strongsubj;negative
825;cautionary;strongsubj;negative
826;cautious;weaksubj;negative
827;cave;weaksubj;negative
828;celebrate;strongsubj;positive
829;celebrated;strongsubj;positive
830;celebration;strongsubj;positive
831;celebratory;strongsubj;positive
832;celebrity;weaksubj;positive
833;censure;strongsubj;negative
834;chafe;strongsubj;negative
835;chaff;strongsubj;negative
836;chagrin;strongsubj;negative
837;challenge;weaksubj;negative
838;challenging;weaksubj;negative
839;champion;weaksubj;positive
840;champ;weaksubj;positive
841;chaos;strongsubj;negative
842;chaotic;strongsubj;negative
843;charisma;strongsubj;negative
844;charismatic;strongsubj;positive
845;charitable;weaksubj;positive
846;charity;weaksubj;positive
847;charm;strongsubj;positive
848;charming;strongsubj;positive
849;charmingly;strongsubj;positive
850;chaste;strongsubj;positive
851;chasten;strongsubj;negative
852;chastise;strongsubj;negative
853;chastisement;strongsubj;negative
854;chatter;strongsubj;negative
855;chatterbox;strongsubj;negative
856;cheapen;strongsubj;negative
857;cheap;strongsubj;negative
858;cheat;strongsubj;negative
859;cheater;strongsubj;negative
860;cheer;strongsubj;positive
861;cheery;strongsubj;positive
862;cheerful;strongsubj;positive
863;cheerless;strongsubj;negative
864;cherish;strongsubj;positive
865;cherished;strongsubj;positive
866;cherub;strongsubj;positive
867;chic;strongsubj;positive
868;chide;strongsubj;negative
869;childish;strongsubj;negative
870;chill;weaksubj;negative
871;chilly;weaksubj;negative
872;chit;strongsubj;negative
873;chivalry;strongsubj;positive
874;chivalrous;strongsubj;positive
875;choppy;weaksubj;negative
876;choke;weaksubj;negative
877;chore;weaksubj;negative
878;chronic;weaksubj;negative
879;chum;weaksubj;positive
880;civility;strongsubj;positive
881;civilization;weaksubj;positive
882;civilize;weaksubj;positive
883;civil;weaksubj;positive
884;clamor;weaksubj;negative
885;clamorous;weaksubj;negative
886;clarity;weaksubj;positive
887;clash;weaksubj;negative
888;classic;weaksubj;positive
889;clean;weaksubj;positive
890;cleanliness;weaksubj;positive
891;cleanse;weaksubj;positive
892;clear;weaksubj;positive
893;clearcut;strongsubj;positive
894;clearer;strongsubj;positive
895;clearly;strongsubj;positive
896;clever;strongsubj;positive
897;cliche;strongsubj;negative
898;cliched;strongsubj;negative
899;clique;weaksubj;negative
900;clog;weaksubj;negative
901;close;weaksubj;negative
902;closeness;strongsubj;positive
903;cloud;strongsubj;negative
904;clout;strongsubj;positive
905;clumsy;strongsubj;negative
906;cooperation;weaksubj;positive
907;coarse;weaksubj;negative
908;coax;strongsubj;positive
909;cocky;strongsubj;negative
910;coddle;weaksubj;positive
911;coerce;strongsubj;negative
912;coercion;strongsubj;negative
913;coercive;strongsubj;negative
914;cogent;strongsubj;positive
915;cohesive;weaksubj;positive
916;cohere;weaksubj;positive
